Country,Clicks,Impressions,CTR,Position
United States,844,20813,4.06%,22.28
India,4,170,2.35%,45.48
Canada,4,137,2.92%,27.38
Australia,3,700,0.43%,19.62
Italy,2,20,10%,39.3
Switzerland,2,11,18.18%,9.64
United Kingdom,1,1031,0.1%,24.56
Japan,1,314,0.32%,13.4
Indonesia,1,88,1.14%,56.93
Spain,1,39,2.56%,40.92
South Korea,1,34,2.94%,34.26
Germany,1,20,5%,19.9
Netherlands,1,17,5.88%,15.24
Portugal,1,8,12.5%,40.62
Hungary,1,7,14.29%,22.14
Poland,1,7,14.29%,37.29
Austria,1,6,16.67%,9.67
Croatia,1,5,20%,5.8
Belgium,1,3,33.33%,29
New Zealand,1,2,50%,4.5
Botswana,1,2,50%,39.5
Lebanon,1,1,100%,7
France,0,424,0%,14.53
Philippines,0,173,0%,61.7
Brazil,0,143,0%,48.7
Vietnam,0,125,0%,47.58
Mexico,0,85,0%,46.01
Thailand,0,67,0%,50.34
Turkey,0,57,0%,63.54
Bangladesh,0,54,0%,56.2
Malaysia,0,46,0%,60.67
Russia,0,45,0%,49.09
Pakistan,0,41,0%,26.73
Argentina,0,34,0%,41.53
Morocco,0,31,0%,44.9
Jordan,0,31,0%,56.97
Colombia,0,27,0%,47.11
Saudi Arabia,0,27,0%,52.22
Nigeria,0,26,0%,10.5
Algeria,0,22,0%,44.55
Ukraine,0,21,0%,36.05
South Africa,0,21,0%,43.52
United Arab Emirates,0,20,0%,48.65
China,0,18,0%,4.89
Egypt,0,14,0%,30.21
Ecuador,0,14,0%,53.64
Chile,0,12,0%,49.08
Peru,0,12,0%,56.08
Uzbekistan,0,9,0%,43.78
Venezuela,0,9,0%,61.22
Greece,0,8,0%,19
Taiwan,0,8,0%,30.38
Iraq,0,8,0%,35.75
Israel,0,8,0%,39
Sweden,0,7,0%,32.86
Costa Rica,0,6,0%,15.33
Romania,0,6,0%,25.33
Ireland,0,6,0%,29.67
Bolivia,0,6,0%,39.33
Kenya,0,6,0%,46.33
Hong Kong,0,5,0%,5
Dominican Republic,0,5,0%,34
Denmark,0,5,0%,36.2
Syria,0,5,0%,65.6
Trinidad & Tobago,0,4,0%,23.5
Bulgaria,0,4,0%,28.25
Uruguay,0,4,0%,39.5
Swaziland,0,4,0%,44.75
Ethiopia,0,4,0%,52.25
Libya,0,4,0%,54.5
Paraguay,0,4,0%,59
Tunisia,0,4,0%,60.5
Unknown Region,0,3,0%,2.33
Sri Lanka,0,3,0%,28.33
Czechia,0,3,0%,33.67
Slovenia,0,3,0%,37.67
Honduras,0,3,0%,44.67
Moldova,0,3,0%,48
Panama,0,3,0%,60
Azerbaijan,0,2,0%,1
Palestine,0,2,0%,1
Vanuatu,0,2,0%,3
Serbia,0,2,0%,5.5
Singapore,0,2,0%,9
Iran,0,2,0%,23.5
Georgia,0,2,0%,26.5
Kuwait,0,2,0%,40.5
Belarus,0,2,0%,41
Ghana,0,2,0%,42.5
Norway,0,2,0%,50.5
Cambodia,0,2,0%,63.5
Latvia,0,2,0%,68
Nepal,0,2,0%,76
Angola,0,1,0%,1
Puerto Rico,0,1,0%,2
Côte d’Ivoire,0,1,0%,3
Jamaica,0,1,0%,3
Bhutan,0,1,0%,4
Guyana,0,1,0%,4
Caribbean Netherlands,0,1,0%,5
Cayman Islands,0,1,0%,5
Myanmar (Burma),0,1,0%,6
Senegal,0,1,0%,10
Bermuda,0,1,0%,47
South Sudan,0,1,0%,50
Cameroon,0,1,0%,62
Finland,0,1,0%,62
Guinea,0,1,0%,62
Guatemala,0,1,0%,64
Malta,0,1,0%,67
Lithuania,0,1,0%,71
Togo,0,1,0%,74
Rwanda,0,1,0%,76
Uganda,0,1,0%,78
Kazakhstan,0,1,0%,79
Barbados,0,1,0%,85
Albania,0,1,0%,86
